EmployeeId,Age,Attrition,DailyRate,DistanceFromHome,Education,EmployeeCount,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,IncomePerYear,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes
29,59,0.0,818,6,2,1,2,52,3,1,3,2267,25657,8,17,3,4,80,0,7,2,2,2,2,2,2,1133.5,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False
31,36,0.0,1425,14,1,1,3,68,3,2,4,6586,4821,0,17,3,1,80,1,17,2,2,16,8,4,11,411.625,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True
32,30,0.0,853,7,4,1,3,49,3,2,3,3491,11309,1,13,3,1,80,3,10,4,2,10,7,8,9,349.1,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
33,38,0.0,433,1,3,1,3,37,4,1,3,2844,6004,1,13,3,4,80,1,7,2,4,7,6,5,0,406.2857142857143,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False
34,28,1.0,1496,1,3,1,1,92,3,1,3,2909,15747,3,15,3,4,80,1,5,3,4,3,2,1,2,969.6666666666666,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False
35,31,0.0,192,2,4,1,3,32,3,1,4,2695,7747,0,18,3,2,80,1,3,2,1,2,2,2,2,1347.5,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
36,36,0.0,845,1,5,1,4,45,3,2,4,6653,15276,4,15,3,2,80,0,7,6,3,1,0,0,0,6653.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
37,32,0.0,427,1,3,1,1,33,3,2,4,6162,10877,1,22,4,2,80,1,9,3,3,9,8,7,8,684.6666666666666,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True
39,28,0.0,120,4,3,1,2,43,3,2,3,4221,8863,1,15,3,2,80,0,5,3,4,5,4,0,4,844.2,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False
40,31,1.0,249,6,4,1,2,76,1,2,3,6172,20739,4,18,3,2,80,0,12,3,2,7,7,7,7,881.7142857142857,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
41,50,0.0,316,8,4,1,4,54,3,1,2,3875,9983,7,15,3,4,80,1,4,2,3,2,2,2,2,1937.5,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
42,39,0.0,1132,1,3,1,3,48,4,3,4,9613,10942,0,17,3,1,80,3,19,5,2,18,10,3,7,534.0555555555555,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
43,35,0.0,809,16,3,1,1,84,4,1,2,2426,16479,0,13,3,3,80,1,6,5,3,5,4,0,3,485.2,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False
44,32,0.0,379,5,2,1,2,48,3,2,2,6524,8891,1,14,3,4,80,1,10,3,3,10,8,5,3,652.4,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
45,26,1.0,1330,21,3,1,1,37,3,1,3,2377,19373,1,20,4,3,80,1,1,0,2,1,1,0,0,2377.0,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False
46,30,0.0,288,2,3,1,3,99,2,2,4,4152,15830,1,19,3,1,80,3,11,3,3,11,10,10,8,377.45454545454544,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
49,38,0.0,216,23,3,1,4,44,2,3,3,9526,8787,0,21,4,2,80,0,10,2,3,9,7,1,8,1058.4444444444443,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
50,21,0.0,1343,22,1,1,3,49,3,1,3,3447,24444,1,11,3,3,80,0,3,2,3,3,2,1,2,1149.0,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False
51,35,0.0,950,7,3,1,3,59,3,3,3,10221,18869,3,21,4,2,80,0,17,3,4,8,5,1,6,1277.625,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False
54,26,0.0,1479,1,3,1,3,84,3,2,2,6397,26767,1,20,4,1,80,1,6,6,1,6,5,1,4,1066.1666666666667,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
55,31,1.0,523,2,3,1,2,94,3,1,4,3722,21081,6,13,3,3,80,1,7,2,1,2,2,2,2,1861.0,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
57,32,0.0,1062,2,3,1,3,75,3,1,2,2370,3956,1,13,3,3,80,1,8,4,3,8,0,0,7,296.25,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
58,32,0.0,929,10,3,1,4,55,3,2,4,5396,21703,1,12,3,4,80,0,10,2,2,10,7,0,8,539.6,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
59,34,0.0,1303,2,4,1,4,62,2,1,3,2768,8416,3,12,3,3,80,1,14,3,3,7,3,5,7,395.42857142857144,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
60,33,0.0,553,5,4,1,4,74,3,3,2,11878,23364,6,11,3,2,80,2,12,2,3,10,6,8,8,1187.8,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
61,47,0.0,983,2,2,1,1,65,3,2,4,5070,7389,5,13,3,3,80,3,20,2,3,5,0,0,4,1014.0,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
63,30,0.0,921,1,3,1,4,38,1,1,3,3833,24375,3,21,4,3,80,2,7,2,3,2,2,0,2,1916.5,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
64,58,0.0,1145,9,3,1,2,75,2,1,2,3346,11873,4,20,4,2,80,1,9,3,2,1,0,0,0,3346.0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True
65,37,1.0,625,1,4,1,1,46,2,3,3,10609,14922,5,11,3,3,80,0,17,2,1,14,1,11,7,757.7857142857143,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
68,38,0.0,1380,9,2,1,3,75,3,1,4,2288,6319,1,12,3,3,80,0,2,3,3,2,2,2,1,1144.0,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
69,43,1.0,1372,9,3,1,1,85,1,2,3,5346,9489,8,13,3,2,80,0,7,2,2,4,3,1,3,1336.5,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
71,52,0.0,322,28,2,1,4,59,4,4,3,13247,9731,2,11,3,2,80,1,24,3,2,5,3,0,2,2649.4,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True
73,44,0.0,1488,1,5,1,2,75,3,2,1,5454,4009,5,21,4,3,80,1,9,2,2,4,3,1,3,1363.5,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
74,59,0.0,142,3,3,1,3,70,2,1,4,2177,8456,3,17,3,1,80,1,7,6,3,1,0,0,0,2177.0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
77,42,0.0,926,21,2,1,3,36,3,2,3,5265,16439,2,16,3,2,80,1,11,5,3,5,3,0,2,1053.0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
78,45,0.0,561,2,3,1,4,61,3,2,2,4805,16177,0,19,3,2,80,1,9,3,4,8,7,3,7,600.625,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False
81,21,1.0,1427,18,1,1,4,65,3,1,4,2693,8870,1,19,3,1,80,0,1,3,2,1,0,0,0,2693.0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
82,23,0.0,885,4,3,1,1,58,4,1,1,2819,8544,2,16,3,1,80,1,5,3,4,3,2,0,2,939.6666666666666,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
84,54,0.0,1147,3,3,1,4,52,3,2,1,5940,17011,2,14,3,4,80,1,16,4,3,6,2,0,5,990.0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
85,41,0.0,509,7,2,1,2,43,4,1,3,3376,18863,1,13,3,3,80,0,10,3,3,10,6,0,8,337.6,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
86,45,0.0,1038,20,3,1,2,95,1,3,1,10851,19863,2,18,3,2,80,1,24,2,3,7,7,0,7,1550.142857142857,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
88,45,0.0,1052,6,3,1,4,57,2,3,4,8865,16840,6,12,3,4,80,0,23,2,3,19,7,12,8,466.57894736842104,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
93,55,0.0,111,1,2,1,1,70,3,3,4,10239,18092,3,14,3,4,80,1,24,4,3,1,0,1,0,10239.0,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
95,34,0.0,1069,2,1,1,4,45,2,2,3,9547,14074,1,17,3,3,80,0,10,2,2,10,9,1,9,954.7,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
97,57,0.0,405,1,2,1,2,93,4,2,3,4900,2721,0,24,4,1,80,1,13,2,2,12,9,2,8,408.3333333333333,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
99,33,0.0,147,4,4,1,3,47,2,1,2,2622,13248,6,21,4,4,80,0,7,3,3,3,2,1,1,874.0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
100,32,0.0,300,1,3,1,4,61,3,1,4,2314,9148,0,12,3,2,80,1,4,2,3,3,0,0,2,771.3333333333334,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
101,21,1.0,251,10,2,1,1,45,2,1,3,2625,25308,1,20,4,3,80,0,2,2,1,2,2,2,2,1312.5,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
102,34,1.0,296,6,2,1,4,33,1,1,3,2351,12253,0,16,3,4,80,1,3,3,2,2,2,1,0,1175.5,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
104,27,0.0,1242,20,3,1,4,90,3,2,3,9981,12916,1,14,3,4,80,0,7,2,3,7,7,0,7,1425.857142857143,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
106,36,0.0,917,6,4,1,3,60,1,1,3,2741,6865,1,14,3,3,80,1,7,4,3,7,7,1,7,391.57142857142856,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
107,41,1.0,1360,12,3,1,2,49,3,5,3,19545,16280,1,12,3,4,80,0,23,0,3,22,15,15,8,888.4090909090909,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
109,33,0.0,1296,6,3,1,3,30,3,2,4,7725,5335,3,23,4,3,80,1,15,2,1,13,11,4,7,594.2307692307693,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
110,18,1.0,247,8,1,1,3,80,3,1,3,1904,13556,1,12,3,4,80,0,0,0,3,0,0,0,0,1904.0,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False
111,27,0.0,894,9,3,1,4,99,3,1,2,2279,11781,1,16,3,4,80,0,7,2,2,7,7,0,3,325.57142857142856,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
112,22,0.0,1230,1,2,1,4,33,2,2,4,4775,19146,6,22,4,1,80,2,4,2,1,2,2,2,2,2387.5,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
113,33,1.0,813,14,3,1,3,58,3,1,4,2436,22149,5,13,3,3,80,1,8,2,1,5,4,0,4,487.2,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True
114,42,0.0,1368,28,4,1,4,88,2,2,4,4523,4386,0,11,3,4,80,3,7,4,4,6,5,0,4,753.8333333333334,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
115,29,0.0,806,1,4,1,2,76,1,1,4,2720,18959,1,18,3,4,80,1,10,5,3,10,7,2,8,272.0,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
117,35,0.0,817,1,3,1,4,60,2,2,4,5363,10846,0,12,3,2,80,1,10,0,3,9,7,0,0,595.8888888888889,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
119,37,0.0,142,9,4,1,1,69,3,3,2,8834,24666,1,13,3,4,80,1,9,6,3,9,5,7,7,981.5555555555555,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
121,52,1.0,266,2,1,1,1,57,1,5,4,19845,25846,1,15,3,4,80,1,33,3,3,32,14,6,9,620.15625,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
122,31,0.0,218,7,3,1,2,100,4,2,4,6929,12241,4,11,3,2,80,1,10,3,2,8,7,7,7,866.125,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False
123,29,0.0,1396,10,3,1,3,99,3,1,3,2642,2755,1,11,3,3,80,0,1,6,3,1,0,0,0,2642.0,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
126,32,1.0,1474,11,4,1,4,60,4,2,3,4707,23914,8,12,3,4,80,0,6,2,3,4,2,1,2,1176.75,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False
127,35,0.0,1097,11,2,1,3,79,2,3,1,9884,8302,2,13,3,3,80,1,10,3,3,4,0,2,3,2471.0,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True
128,43,0.0,920,3,3,1,3,96,1,5,4,19740,18625,3,14,3,2,80,1,25,2,3,8,7,0,7,2467.5,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
129,33,0.0,134,2,3,1,3,90,3,1,4,2500,10515,0,14,3,1,80,0,4,2,4,3,1,0,2,833.3333333333334,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
133,37,0.0,309,10,4,1,4,88,2,2,4,6694,24223,2,14,3,3,80,3,8,5,3,1,0,0,0,6694.0,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
134,27,1.0,135,17,4,1,4,51,3,1,3,2394,25681,1,13,3,4,80,0,8,2,3,8,2,7,7,299.25,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True
135,28,0.0,1451,2,1,1,1,67,2,1,2,3201,19911,0,17,3,1,80,0,6,2,1,5,3,0,4,640.2,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
136,27,0.0,294,10,2,1,4,32,3,3,1,8793,4809,1,21,4,3,80,2,9,4,2,9,7,1,7,977.0,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
137,37,0.0,342,16,4,1,4,66,2,2,3,6334,24558,4,19,3,4,80,2,9,2,3,1,0,0,0,6334.0,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
138,27,0.0,199,6,3,1,4,55,2,1,3,2539,7950,1,13,3,3,80,1,4,0,3,4,2,2,2,634.75,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
139,37,0.0,319,4,4,1,1,41,3,1,4,2793,2539,4,17,3,3,80,1,13,2,3,9,8,5,8,310.3333333333333,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
140,31,0.0,1062,24,3,1,3,96,2,2,1,6812,17198,1,19,3,2,80,0,10,2,3,10,9,1,8,681.2,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
141,48,0.0,715,1,3,1,4,76,2,5,4,18265,8733,6,12,3,3,80,0,25,3,4,1,0,0,0,18265.0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
142,36,0.0,676,1,3,1,3,35,3,2,2,5228,23361,0,15,3,1,80,1,10,2,3,9,7,0,5,580.8888888888889,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
143,37,0.0,977,1,3,1,4,56,2,2,4,6474,9961,1,13,3,2,80,1,14,2,2,14,8,3,11,462.42857142857144,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
146,38,0.0,702,1,4,1,1,59,2,2,4,8686,12930,4,22,4,3,80,0,12,2,4,8,3,0,7,1085.75,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
147,32,0.0,117,13,4,1,2,73,3,2,4,4403,9250,2,11,3,3,80,1,8,3,2,5,2,0,3,880.6,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
149,28,0.0,857,10,3,1,3,59,3,2,3,3660,7909,3,13,3,4,80,0,10,4,4,8,7,1,7,457.5,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
150,43,0.0,957,28,3,1,2,72,4,1,3,4739,16090,4,12,3,4,80,0,18,2,3,3,2,1,2,1579.6666666666667,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
152,30,0.0,1465,1,3,1,4,63,3,1,2,3579,9369,0,21,4,1,80,1,12,2,3,11,9,5,7,325.3636363636364,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True
153,33,0.0,722,17,3,1,4,38,3,4,3,17444,20489,1,11,3,4,80,0,10,2,3,10,8,6,0,1744.4,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
154,43,0.0,177,8,3,1,1,55,3,2,2,4765,23814,4,21,4,3,80,1,4,2,4,1,0,0,0,4765.0,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
155,42,0.0,458,26,5,1,1,60,3,3,1,13191,23281,3,17,3,3,80,0,20,6,3,1,0,0,0,13191.0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True
156,37,0.0,921,10,3,1,3,98,3,1,1,3452,17663,6,20,4,2,80,1,17,3,3,5,4,0,3,690.4,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
160,24,0.0,535,24,3,1,4,38,3,1,4,2400,5530,0,13,3,3,80,2,3,3,3,2,2,2,1,1200.0,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False
161,37,0.0,1063,25,5,1,2,72,3,2,3,4449,23866,3,15,3,1,80,2,15,2,3,13,11,10,7,342.2307692307692,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True
162,37,0.0,558,2,3,1,4,75,3,2,3,9602,3010,4,11,3,3,80,1,17,3,2,3,0,1,0,3200.6666666666665,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
163,40,0.0,1395,26,3,1,2,54,3,2,2,5605,8504,1,11,3,1,80,1,20,2,3,20,7,2,13,280.25,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
165,55,1.0,436,2,1,1,3,37,3,2,4,5160,21519,4,16,3,3,80,0,12,3,2,9,7,7,3,573.3333333333334,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False
166,34,0.0,507,15,2,1,3,66,3,2,1,6125,23553,1,12,3,4,80,0,10,6,4,10,8,9,6,612.5,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
167,18,0.0,812,10,3,1,4,69,2,1,3,1200,9724,1,12,3,1,80,0,0,2,3,0,0,0,0,1200.0,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
168,41,0.0,334,2,4,1,4,88,3,4,2,16015,15896,1,19,3,2,80,0,22,2,3,22,10,0,4,727.9545454545455,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
169,44,0.0,383,1,5,1,1,79,3,2,3,4768,9282,7,12,3,3,80,1,11,4,2,1,0,0,0,4768.0,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
170,42,0.0,691,8,4,1,3,48,3,2,2,6825,21173,0,11,3,4,80,1,10,2,3,9,7,4,2,758.3333333333334,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
171,51,0.0,313,3,3,1,4,98,3,4,2,13734,7192,3,18,3,3,80,0,21,6,3,7,7,1,0,1962.0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
172,32,1.0,515,1,3,1,4,62,2,1,3,3730,9571,0,14,3,4,80,0,4,2,1,3,2,1,2,1243.3333333333333,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True
174,31,0.0,688,7,3,1,3,44,2,3,4,11557,25291,9,21,4,3,80,1,10,3,2,5,4,0,1,2311.4,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
175,31,0.0,853,1,1,1,3,96,3,2,1,4148,11275,1,12,3,3,80,1,4,1,3,4,3,0,3,1037.0,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
